well_name_raw,well_name_file,wellbore_key,parent_well,sidetrack,has_production_data
15/9-19 A,15_9_19_A,19-A,19,A,False
15/9-19 B,15_9_19_B,19-B,19,B,False
15/9-19 BT2,15_9_19_BT2,19-BT2,19,BT2,False
15/9-19 S,15_9_19_S,19-S,19,S,False
15/9-19 ST2,15_9_19_ST2,19-ST2,19,ST2,False
15/9-F-1,15_9_F_1,F-1,F-1,,False
15/9-F-1 A,15_9_F_1_A,F-1-A,F-1,A,False
15/9-F-1 B,15_9_F_1_B,F-1-B,F-1,B,False
15/9-F-1 C,15_9_F_1_C,F-1-C,F-1,C,True
15/9-F-10,15_9_F_10,F-10,F-10,,False
15/9-F-11,15_9_F_11,F-11,F-11,,True
15/9-F-11 A,15_9_F_11_A,F-11-A,F-11,A,False
15/9-F-11 B,15_9_F_11_B,F-11-B,F-11,B,False
15/9-F-11 T2,15_9_F_11_T2,F-11-T2,F-11,T2,False
15/9-F-12,15_9_F_12,F-12,F-12,,True
15/9-F-14,15_9_F_14,F-14,F-14,,True
15/9-F-15,15_9_F_15,F-15,F-15,,False
15/9-F-15 A,15_9_F_15_A,F-15-A,F-15,A,False
15/9-F-15 B,15_9_F_15_B,F-15-B,F-15,B,False
15/9-F-15 C,15_9_F_15_C,F-15-C,F-15,C,False
15/9-F-15 D,15_9_F_15_D,F-15-D,F-15,D,True
15/9-F-4,15_9_F_4,F-4,F-4,,True
15/9-F-5,15_9_F_5,F-5,F-5,,True
15/9-F-7,15_9_F_7,F-7,F-7,,False
15/9-F-9,15_9_F_9,F-9,F-9,,False
15/9-F-9 A,15_9_F_9_A,F-9-A,F-9,A,False
