report_id,total_hours
15_9_19_A_1997-07-26,23.5
15_9_19_A_1997-11-10,22.0
15_9_19_BT2_1997-12-06,9.0
15_9_19_BT2_1998-02-05,6.0
15_9_19_B_1997-11-10,2.0
15_9_19_B_1997-12-06,15.0
15_9_19_ST2_1992-12-19,12.0
15_9_19_ST2_1993-02-01,10.5
15_9_19_ST2_1993-02-18,9.0
15_9_19_ST2_1993-04-30,9.0
15_9_19_ST2_1997-07-17,8.5
15_9_19_ST2_1997-07-26,0.5
15_9_19_S_1992-09-09,6.0
15_9_19_S_1992-09-25,14.0
15_9_19_S_1992-11-18,6.0
15_9_19_S_1992-12-19,12.0
15_9_F_10_2009-04-07,18.0
15_9_F_10_2009-06-16,19.0
15_9_F_11_2013-03-24,5.5
15_9_F_11_A_2013-05-15,12.0
15_9_F_11_A_2013-05-18,14.0
15_9_F_11_A_2013-05-20,3.0
15_9_F_11_A_2013-05-29,14.5
15_9_F_11_B_2013-05-29,9.5
15_9_F_11_B_2013-07-22,23.0
15_9_F_11_B_2013-07-23,4.0
15_9_F_11_B_2013-07-24,3.0
15_9_F_11_B_2015-10-25,2.25
15_9_F_11_B_2015-11-03,21.0
15_9_F_11_B_2016-04-15,5.0
15_9_F_11_B_2016-04-19,6.0
15_9_F_11_B_2016-04-21,17.25
15_9_F_11_B_2016-04-25,17.0
15_9_F_11_B_2016-09-19,18.25
15_9_F_11_B_2016-09-29,16.25
15_9_F_11_B_2016-10-21,15.75
15_9_F_11_B_2016-10-22,3.5
15_9_F_11_T2_2013-03-24,18.5
15_9_F_11_T2_2013-05-15,12.0
15_9_F_12_2007-06-14,4.0
15_9_F_12_2007-09-15,20.75
15_9_F_12_2007-10-12,2.75
15_9_F_12_2007-12-31,13.0
15_9_F_12_2008-02-05,21.0
15_9_F_12_2008-02-12,8.0
15_9_F_12_2009-03-14,9.0
15_9_F_12_2009-03-18,16.5
15_9_F_12_2010-09-21,15.5
15_9_F_12_2010-09-24,16.5
15_9_F_12_2014-11-23,8.0
15_9_F_12_2014-11-28,9.0
15_9_F_12_2016-08-15,5.5
15_9_F_12_2016-08-29,17.75
15_9_F_12_2016-10-20,13.0
15_9_F_12_2016-10-21,8.25
15_9_F_14_2007-11-06,13.0
15_9_F_14_2007-11-16,4.5
15_9_F_14_2007-12-05,23.0
15_9_F_14_2008-04-27,11.0
15_9_F_14_2008-04-28,13.0
15_9_F_14_2008-04-30,18.5
15_9_F_14_2008-05-01,11.0
15_9_F_14_2008-05-11,23.0
15_9_F_14_2008-07-11,18.0
15_9_F_14_2009-03-07,5.5
15_9_F_14_2009-03-14,15.0
15_9_F_14_2010-09-11,8.5
15_9_F_14_2010-09-21,8.5
15_9_F_14_2012-01-28,9.0
15_9_F_14_2012-02-01,3.0
15_9_F_14_2016-07-31,19.75
15_9_F_14_2016-08-15,18.5
15_9_F_14_2016-09-12,11.25
15_9_F_14_2016-09-16,0.5
15_9_F_14_2016-10-19,12.25
15_9_F_14_2016-10-20,11.0
15_9_F_15_2007-11-19,0.25
15_9_F_15_2007-11-22,9.5
15_9_F_15_2007-12-23,2.25
15_9_F_15_2007-12-31,11.0
15_9_F_15_2008-09-07,12.0
15_9_F_15_2008-09-08,23.25
15_9_F_15_2008-09-11,17.233333333333334
15_9_F_15_2008-09-19,2.5
15_9_F_15_2008-09-28,22.5
15_9_F_15_2008-10-02,12.0
15_9_F_15_2008-10-06,20.25
15_9_F_15_2008-11-11,17.0
15_9_F_15_2008-11-20,6.0
15_9_F_15_2008-11-28,16.75
15_9_F_15_2008-12-01,6.0
15_9_F_15_2008-12-02,18.0
15_9_F_15_2008-12-12,15.0
15_9_F_15_A_2008-12-12,9.0
15_9_F_15_A_2009-01-07,21.5
15_9_F_15_A_2009-01-08,13.0
15_9_F_15_A_2009-01-09,23.75
15_9_F_15_A_2009-01-14,12.25
15_9_F_15_B_2009-01-14,11.75
15_9_F_15_B_2009-01-19,22.0
15_9_F_15_C_2009-01-19,2.0
15_9_F_15_C_2009-01-24,6.0
15_9_F_15_C_2009-01-25,18.0
15_9_F_15_C_2009-01-26,23.0
15_9_F_15_C_2009-02-06,6.0
15_9_F_15_C_2009-02-07,18.0
15_9_F_15_C_2009-02-08,22.25
15_9_F_15_C_2009-02-11,2.0
15_9_F_15_C_2009-02-12,16.0
15_9_F_15_C_2009-02-13,23.75
15_9_F_15_C_2009-02-16,6.0
15_9_F_15_C_2009-02-17,18.0
15_9_F_15_C_2009-02-20,6.0
15_9_F_15_C_2009-02-21,18.0
15_9_F_15_C_2009-03-03,6.0
15_9_F_15_C_2009-03-07,18.5
15_9_F_15_C_2013-10-07,12.0
15_9_F_15_C_2013-11-11,14.0
15_9_F_15_D_2013-11-11,10.0
15_9_F_15_D_2013-12-21,3.5
15_9_F_15_D_2013-12-27,15.5
15_9_F_15_D_2014-01-16,15.0
15_9_F_15_D_2015-08-06,13.0
15_9_F_15_D_2015-08-17,7.0
15_9_F_15_D_2016-07-09,12.25
15_9_F_15_D_2016-07-29,9.0
15_9_F_15_D_2016-09-16,23.5
15_9_F_15_D_2016-09-17,21.0
15_9_F_15_D_2016-10-18,22.5
15_9_F_15_D_2016-10-19,11.75
15_9_F_1_2007-12-02,19.5
15_9_F_1_2007-12-05,1.0
15_9_F_1_2013-07-22,1.0
15_9_F_1_2013-08-24,5.0
15_9_F_1_A_2013-08-24,19.0
15_9_F_1_A_2013-08-30,15.5
15_9_F_1_B_2013-08-30,8.5
15_9_F_1_B_2013-09-03,17.0
15_9_F_1_B_2013-09-05,14.5
15_9_F_1_B_2013-10-07,12.25
15_9_F_1_B_2013-12-21,20.5
15_9_F_1_B_2013-12-27,7.5
15_9_F_1_B_2014-01-26,13.0
15_9_F_1_B_2014-02-02,23.75
15_9_F_1_B_2014-02-22,14.5
15_9_F_1_C_2014-02-22,9.5
15_9_F_1_C_2014-04-22,1.5
15_9_F_1_C_2014-11-28,15.0
15_9_F_1_C_2014-12-07,18.0
15_9_F_1_C_2016-06-16,23.25
15_9_F_1_C_2016-07-09,11.75
15_9_F_1_C_2016-09-17,3.0
15_9_F_1_C_2016-09-19,5.75
15_9_F_1_C_2016-10-22,20.5
15_9_F_4_2007-06-10,12.0
15_9_F_4_2007-06-14,20.0
15_9_F_4_2007-10-13,18.0
15_9_F_4_2007-10-14,22.0
15_9_F_4_2007-11-06,11.0
15_9_F_4_2008-02-05,3.0
15_9_F_4_2008-02-11,6.0
15_9_F_4_2008-02-14,8.0
15_9_F_4_2008-04-23,10.75
15_9_F_4_2010-09-24,7.5
15_9_F_4_2010-09-27,6.0
15_9_F_4_2012-09-12,17.0
15_9_F_4_2012-09-16,19.0
15_9_F_4_2016-10-02,9.0
15_9_F_4_2016-10-10,9.0
15_9_F_4_2016-10-11,13.25
15_9_F_4_2016-10-14,2.5
15_9_F_5_2007-11-16,19.5
15_9_F_5_2007-11-19,23.75
15_9_F_5_2007-12-18,22.5
15_9_F_5_2007-12-23,21.75
15_9_F_5_2008-07-11,6.0
15_9_F_5_2008-07-15,18.0
15_9_F_5_2008-07-18,10.0
15_9_F_5_2008-07-22,8.75
15_9_F_5_2008-08-02,15.25
15_9_F_5_2008-08-03,22.75
15_9_F_5_2008-08-20,7.5
15_9_F_5_2008-08-22,4.5
15_9_F_5_2008-08-27,12.0
15_9_F_5_2008-10-06,3.75
15_9_F_5_2008-10-20,15.75
15_9_F_5_2012-09-16,5.0
15_9_F_5_2012-09-19,12.0
15_9_F_5_2015-11-03,6.0
15_9_F_5_2015-11-06,7.0
15_9_F_5_2016-04-19,18.0
15_9_F_5_2016-04-21,6.75
15_9_F_5_2016-08-29,6.25
15_9_F_5_2016-09-12,12.75
15_9_F_5_2016-10-14,21.5
15_9_F_5_2016-10-17,15.75
15_9_F_7_2007-09-15,3.0
15_9_F_7_2007-10-12,3.25
15_9_F_7_2015-02-05,20.5
15_9_F_7_2015-02-07,23.75
15_9_F_7_2015-02-10,2.25
15_9_F_7_2016-07-29,15.0
15_9_F_7_2016-07-31,4.25
15_9_F_7_2016-10-24,1.75
15_9_F_9_2007-11-29,17.5
15_9_F_9_2007-12-02,4.5
15_9_F_9_2007-12-18,1.5
15_9_F_9_2008-08-27,12.0
15_9_F_9_2008-09-07,12.0
15_9_F_9_2009-06-25,18.0
15_9_F_9_2009-07-04,4.75
