path,filename,extension,size_bytes,modified_date,guessed_content_type
Production_data\Volve production data.xlsx,Volve production data.xlsx,.xlsx,2342595,2026-09-11T23:01:30.716063,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
Reports\Discovery_report.pdf,Discovery_report.pdf,.pdf,182392824,2026-09-11T23:03:52.825145,application/pdf
Reports\Volve PUD .pdf,Volve PUD .pdf,.pdf,4844993,2026-09-11T23:04:00.618279,application/pdf
Well_technical_data\EDT_EDM_read_me.txt,EDT_EDM_read_me.txt,.txt,272,2026-09-12T04:11:17.624637,text/plain
Well_technical_data\CasingSeat\left_intentionally_empty.txt,left_intentionally_empty.txt,.txt,0,2026-09-11T23:04:09.002062,text/plain
Well_technical_data\CasingWear\left_intentionally_empty.txt,left_intentionally_empty.txt,.txt,0,2026-09-11T23:04:14.062536,text/plain
Well_technical_data\Compass\left_intentionally_empty.txt,left_intentionally_empty.txt,.txt,0,2026-09-11T23:04:19.284652,text/plain
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1980_01_01.html,15_9_19_A_1980_01_01.html,.html,9786,2026-09-11T23:04:25.845383,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_07_25.html,15_9_19_A_1997_07_25.html,.html,8604,2026-09-11T23:04:29.433740,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_07_26.html,15_9_19_A_1997_07_26.html,.html,18013,2026-09-11T23:04:33.213204,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_07_27.html,15_9_19_A_1997_07_27.html,.html,17973,2026-09-11T23:04:36.715133,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_07_28.html,15_9_19_A_1997_07_28.html,.html,15635,2026-09-11T23:04:40.435316,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_07_29.html,15_9_19_A_1997_07_29.html,.html,16253,2026-09-11T23:04:43.524563,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_07_30.html,15_9_19_A_1997_07_30.html,.html,21031,2026-09-11T23:04:47.004609,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_07_31.html,15_9_19_A_1997_07_31.html,.html,19586,2026-09-11T23:04:50.586706,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_08_01.html,15_9_19_A_1997_08_01.html,.html,19346,2026-09-11T23:04:54.201886,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_08_02.html,15_9_19_A_1997_08_02.html,.html,18100,2026-09-11T23:04:57.772710,text/html
Well_technical_data\Daily Drilling Report - HTML Version\15_9_19_A_1997_08_03.html,15_9_19_A_1997_08_03.html,.html,16785,2026-09-11T23:05:00.962710,text/html
