DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
2014-04-07,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,0.0,0.0,0.0,0.0,%,0.0,0.0,0.0,0.0,0.0,0.0,,production,WI
2014-07-07,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,215.07005708333332,108.13567,162.40674958333332,,46.824565625,%,52.6633075,54.966429375,24.2335,522.0,77846.76,154.47,,production,WI
2016-04-11,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,,,0.0,0.7293576595744681,%,0.0,,0.0,0.0,0.0,0.0,,production,WI
2016-05-04,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,12.0,,,,17.767782708333332,79.46776166666666,%,25.955409375,44.18903375,0.24307166666666666,328.7,52387.43,136.13,0.0,production,WI
2016-07-26,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,12.0,,,,23.495957708333332,100.0,%,21.580085416666666,54.08486729166667,0.12194239583333333,340.52,54468.73,78.67,0.0,production,WI
2016-07-27,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,12.0,,,,23.565478958333333,100.0,%,21.538264375,54.60525354166667,0.10902822916666667,334.18,53468.31,85.23,0.0,production,WI
2016-07-28,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,12.0,,,,23.650346458333335,100.0,%,21.611183958333335,54.03045458333333,0.11825395833333334,338.69,54190.2,88.61,0.0,production,WI
2016-07-29,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,12.0,,,,23.857465,100.0,%,21.456992291666666,55.98283541666667,0.06301333333333334,342.77,53787.03,89.7,0.0,production,WI
2016-07-30,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,12.0,,,,23.8793175,100.0,%,21.400014583333334,56.69526375,0.05785791666666667,349.25,55339.69,91.8,0.0,production,WI
2016-07-31,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,12.0,,,,23.671880625,100.0,%,21.4073525,55.43242229166667,0.06153197916666667,342.39,53103.9,88.56,0.0,production,WI
2016-08-01,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,12.0,,,,23.795295,100.0,%,21.355290416666666,55.77233458333333,0.04988708333333333,351.38,53406.08,85.88,0.0,production,WI
2016-09-06,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,,,0.28097,0.613268125,%,0.08328,0.22885,0.04164,0.0,0.0,0.0,0.0,production,WI
2016-09-07,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,,,0.2694,0.61606375,%,0.07535,0.22844,0.037675,0.0,0.0,0.0,0.0,production,WI
2016-09-08,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,,,0.28529,0.58911125,%,0.08537,0.22892,0.042685,0.0,0.0,0.0,0.0,production,WI
2016-09-09,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,,,0.28687,0.5751045833333334,%,0.08545,0.22889,0.042725,0.0,0.0,0.0,0.0,production,WI
2016-09-10,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,,,0.28274,0.5714602083333333,%,0.08545,0.22885,0.040175,0.0,0.0,0.0,0.0,production,WI
2016-09-11,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,,,0.28678,0.5681020833333333,%,0.0869,0.22889,0.03452,0.0,0.0,0.0,0.0,production,WI
2016-09-12,NO 15/9-F-5 AH,5769,15/9-F-5,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,,,,0.28687,0.558971875,%,0.08545,0.22889,0.026415,0.0,0.0,0.0,0.0,production,WI
