report_id,well_name_file,report_date,seq,time_from,time_to,main_activity,activity_code,state,level1,level2,confidence,narrative,reviewer_verdict,reviewer_notes
15_9_F_4_2008-03-11,15_9_F_4,11-03-2008,10,22:30,00:00,drilling,bop activities,ok,Productive,BOP/Wellhead,high,"Tested 18 3/4"" surface BOP against test plug in subsea wellhead, 20/345 bar 5/10 min.",,
15_9_F_4_2008-03-12,15_9_F_4,12-03-2008,1,00:00,05:30,drilling,bop activities,ok,Productive,BOP/Wellhead,high,"Tested 18 3/4"" surface BOP against test plug in subsea wellhead, 20/345 bar 5/10 min.

Meanwhile performed derrick inspection, cleaned moonpool area and prepared for greasing manifolds.",,
15_9_19_ST2_1997-07-21,15_9_19_ST2,21-07-1997,11,20:00,21:00,drilling,bop/wellhead equipment,ok,Productive,BOP/Wellhead,high,M/U BACK-UP WB TO R/T. RIH AND SET WB.,,
15_9_F_11_T2_2013-04-09,15_9_F_11_T2,09-04-2013,2,00:30,05:30,drilling,bop/wellhead equipment,ok,Productive,BOP/Wellhead,high,RIH with HP Drilling Riser from 65 m to 103 m.,,
15_9_F_11_T2_2013-04-10,15_9_F_11_T2,10-04-2013,7,17:00,18:00,drilling,bop/wellhead equipment,ok,Productive,BOP/Wellhead,high,"Held pre-job meeting prior to pressure test riser and 20"" casing.
Rigged up cement hose and lo-torq valve on drill floor.
Attempted to pressure test lines and hose to 150 bar.
Not able to obtain line test.",,
15_9_F_12_2007-07-16,15_9_F_12,16-07-2007,13,12:00,12:30,drilling,bop/wellhead equipment,ok,Productive,BOP/Wellhead,high,Cleared and tidied rig floor prior to run HPDR.,,
15_9_F_12_2007-09-10,15_9_F_12,10-09-2007,4,04:30,05:15,drilling,bop/wellhead equipment,ok,Productive,BOP/Wellhead,high,Made up stand of drillpipe. Emptied BOP for water by blowing air down the DP.,,
15_9_F_12_2007-09-10,15_9_F_12,10-09-2007,11,12:15,17:00,drilling,bop/wellhead equipment,ok,Productive,BOP/Wellhead,high,"Attempted to release lock ring on overshot. Used, C-spanner, chain hoists slings",,
15_9_F_15_C_2009-02-02,15_9_F_15_C,02-02-2009,3,03:30,04:30,drilling,bop/wellhead equipment,ok,Productive,BOP/Wellhead,high,"Lifted TBC/stress joint from cantiliver until handling sub was latched into TDS. Unhooked uppermost sling and lifted TBC/stress joint with TDS until it was hanging vertically. Lifted hot-stab to drill floor.

Meanwhile installed VX-ring using ROV.",,
15_9_F_15_C_2009-02-05,15_9_F_15_C,05-02-2009,2,03:00,04:00,drilling,bop/wellhead equipment,ok,Productive,BOP/Wellhead,high,POOH 5-10 m with PR. Untangled 6 mT guide wire and hot-stab rope. Disconnected guide wire clamp from TBC. RIH and hung off PR in riser spider.,,
15_9_F_15_D_2013-12-12,15_9_F_15_D,12-12-2013,6,05:30,07:00,completion,bop/wellhead equipment,ok,Productive,Completion,high,"Picked up tieback connector and stress joint, landed same in riser spider.
Picked up lower riser pup joint from cantilever.",,
15_9_F_1_C_2014-03-25,15_9_F_1_C,25-03-2014,21,19:00,19:15,completion,bop/wellhead equipment,ok,Productive,Completion,high,Held TBT for ongoing crew.,,
15_9_F_1_C_2014-03-30,15_9_F_1_C,30-03-2014,8,08:30,09:15,completion,bop/wellhead equipment,ok,Productive,Completion,high,Installed Slick joint and Diverter.,,
15_9_F_4_2007-10-22,15_9_F_4,22-10-2007,9,12:15,12:45,drilling,bop/wellhead equipment,ok,Productive,BOP/Wellhead,high,Removed diverter from rotary.,,
15_9_F_4_2008-03-27,15_9_F_4,27-03-2008,17,21:45,00:00,drilling,bop/wellhead equipment,ok,Productive,BOP/Wellhead,high,Held tool box talk and applied 130 MT on to the string. Commenced to remove tension cylinders.,,
15_9_F_7_2007-10-03,15_9_F_7,03-10-2007,6,11:00,11:30,drilling,bop/wellhead equipment,ok,Productive,BOP/Wellhead,high,"Took out the PS-21 slips and installed the 10"" diverter inserts, re-installed the PS-21 slips.",,
15_9_F_10_2009-05-15,15_9_F_10,15-05-2009,13,15:15,21:45,drilling,casing,ok,Productive,Casing/Cementing,high,"RIH with 9 5/8"" liner from surface to 923 m. Floats tested in shoe joint. Filled every stand. Checked PRS and slip dies every 10 stands. Running speed: 142 m/ hr.",,
15_9_F_11_2013-03-14,15_9_F_11,14-03-2013,21,20:00,21:00,drilling,casing,ok,Productive,Casing/Cementing,high,"Stabbed 30"" conductor shoe into F-11 template funnel with ROV assistance. Held pre-job meeting evaluating risk of running in open hole riserless. Recorded Recorded Up/Down wt. 106/100 MT. RIH 30"" conductor from 143 m to 36"" TD at 202 m, recorded Up/Down weight 102/97 MT.",,
15_9_F_11_B_2013-06-03,15_9_F_11_B,03-06-2013,1,00:00,03:30,drilling,casing,ok,Productive,Casing/Cementing,high,"RIH with 53.5 ppf 9 5/8"" casing from 827 m to 1270 m . Filled casing every joint. 
Average running rate10 joints/hr.",,
15_9_F_12_2007-08-28,15_9_F_12,28-08-2007,18,20:45,21:00,drilling,casing,ok,Productive,Casing/Cementing,high,Held tool box talk prior to pick BOP and WH clean out assy.,,
15_9_F_12_2007-09-06,15_9_F_12,06-09-2007,11,17:30,18:00,drilling,casing,ok,Productive,Casing/Cementing,high,Held toolbox talk. Removed automatic slips from rotary.,,
15_9_F_12_2008-01-22,15_9_F_12,22-01-2008,3,14:30,17:00,drilling,casing,ok,Productive,Casing/Cementing,high,"MU and RIH with toolstring to 2450 m. Correlated depth to tally using CCL and fired 1 11/16"" HNS Puncher at 2395-2392 m MD.",,
15_9_F_14_2007-11-15,15_9_F_14,15-11-2007,10,15:15,16:00,drilling,casing,ok,Productive,Casing/Cementing,high,"Held tool box prior to laying out the landing string. Laid out pup jnts. and HWDP landing string and checked serial numbers. Measured length using a laser measure, racked back landing string in derrick.",,
15_9_F_14_2008-05-20,15_9_F_14,20-05-2008,10,09:00,09:30,drilling,casing,ok,Productive,Casing/Cementing,high,Reverted to emergency release procedure. Rotated string 13 times counterclockwise until torque bulid up of 10 000 Nm. Attempted to pull free with 40 MT overpull - nogo. Repeated emergency release procedure but got same negative result.,,
15_9_F_14_2008-06-17,15_9_F_14,17-06-2008,22,20:30,23:15,drilling,casing,ok,Productive,Casing/Cementing,high,"Continued RIH with 7"" line on 5Â½"" DP from 1294m to 2222m. Filled every 5'th stand, duration for filling 10-15min. Trip time 338 m/hour. Iron roughneck spinner failed.",,
15_9_F_15_2007-11-21,15_9_F_15,21-11-2007,7,08:45,09:30,drilling,casing,ok,Productive,Casing/Cementing,high,"Made up X/O to CART, and then chained tong onto aluminium inner string. Installed inclinometer and 2"" vent valve (valve open) on CART.",,
15_9_F_15_2008-10-04,15_9_F_15,04-10-2008,2,00:30,02:00,drilling,casing,ok,Productive,Casing/Cementing,high,"RIH with 9 5/8"" csg from 1790 m to 1835 m. Filled every 5 joints using laFleur tool. Tripping speed: 2-3 jnts/hr. Nocked off fitting on BX-elevator.",,
15_9_F_15_A_2008-12-18,15_9_F_15_A,18-12-2008,19,22:45,00:00,drilling,casing,ok,Productive,Casing/Cementing,high,Halted operations due to incident on pipedeck. A wooden beam came flying over the HTS and landed accross the gangway on the oposite side of the HTS (i.e. starboard side). Took time out for investigation and debrief / safety brief.,,
15_9_F_15_A_2008-12-20,15_9_F_15_A,20-12-2008,3,15:15,16:30,drilling,casing,ok,Productive,Casing/Cementing,high,RD and LO Tesco tool.,,
15_9_F_15_C_2009-02-10,15_9_F_15_C,10-02-2009,9,10:30,12:30,drilling,casing,ok,Productive,Casing/Cementing,high,LO adjustment sub assembly and spear assembly. Cleared rig floor off excess equipment.,,
